"City","date","pm25","pm10","Month","Day","Year"
"Dnipro",2022-03-31,58,23,3,31,"2022"
"Dnipro",2022-03-30,19,34,3,30,"2022"
"Dnipro",2022-03-29,12,13,3,29,"2022"
"Dnipro",2022-03-28,9,7,3,28,"2022"
"Dnipro",2022-03-27,40,5,3,27,"2022"
"Dnipro",2022-03-26,24,22,3,26,"2022"
"Dnipro",2022-03-25,40,14,3,25,"2022"
"Dnipro",2022-03-24,40,22,3,24,"2022"
"Dnipro",2022-03-23,12,22,3,23,"2022"
"Dnipro",2022-03-22,32,8,3,22,"2022"
"Dnipro",2022-03-21,23,17,3,21,"2022"
"Dnipro",2022-03-20,21,11,3,20,"2022"
"Dnipro",2022-03-19,18,10,3,19,"2022"
"Dnipro",2022-03-18,20,8,3,18,"2022"
"Dnipro",2022-03-17,14,10,3,17,"2022"
"Dnipro",2022-03-16,30,6,3,16,"2022"
"Dnipro",2022-03-15,34,14,3,15,"2022"
"Dnipro",2022-03-14,19,16,3,14,"2022"
"Dnipro",2022-03-13,12,10,3,13,"2022"
"Dnipro",2022-03-12,16,7,3,12,"2022"
"Dnipro",2022-03-11,20,8,3,11,"2022"
"Dnipro",2022-03-10,39,10,3,10,"2022"
"Dnipro",2022-03-09,25,19,3,9,"2022"
"Dnipro",2022-03-08,28,11,3,8,"2022"
"Dnipro",2022-03-07,20,13,3,7,"2022"
"Dnipro",2022-03-03,37,15,3,3,"2022"
"Dnipro",2022-03-02,37,18,3,2,"2022"
"Dnipro",2022-03-01,21,19,3,1,"2022"
"Lviv",2022-03-31,115,38,3,31,"2022"
"Lviv",2022-03-30,64,52,3,30,"2022"
"Lviv",2022-03-29,33,28,3,29,"2022"
"Lviv",2022-03-28,20,18,3,28,"2022"
"Lviv",2022-03-27,86,11,3,27,"2022"
"Lviv",2022-03-26,67,46,3,26,"2022"
"Lviv",2022-03-25,73,32,3,25,"2022"
"Lviv",2022-03-24,66,35,3,24,"2022"
"Lviv",2022-03-23,79,29,3,23,"2022"
"Lviv",2022-03-22,67,39,3,22,"2022"
"Lviv",2022-03-21,87,31,3,21,"2022"
"Lviv",2022-03-20,79,41,3,20,"2022"
"Lviv",2022-03-19,70,40,3,19,"2022"
"Lviv",2022-03-18,92,35,3,18,"2022"
"Lviv",2022-03-17,134,43,3,17,"2022"
"Lviv",2022-03-16,117,63,3,16,"2022"
"Lviv",2022-03-15,85,55,3,15,"2022"
"Lviv",2022-03-14,61,42,3,14,"2022"
"Lviv",2022-03-13,46,29,3,13,"2022"
"Lviv",2022-03-12,57,23,3,12,"2022"
"Lviv",2022-03-11,58,27,3,11,"2022"
"Lviv",2022-03-10,45,26,3,10,"2022"
"Lviv",2022-03-09,45,19,3,9,"2022"
"Lviv",2022-03-08,55,19,3,8,"2022"
"Lviv",2022-03-07,52,22,3,7,"2022"
"Lviv",2022-03-06,45,22,3,6,"2022"
"Lviv",2022-03-05,99,18,3,5,"2022"
"Lviv",2022-03-04,60,48,3,4,"2022"
"Lviv",2022-03-03,47,28,3,3,"2022"
