"City","date","pm25","pm10","Month","Day","Year"
"Lviv",2021-03-31,102,47,3,31,"2021"
"Lviv",2021-03-30,81,46,3,30,"2021"
"Lviv",2021-03-29,50,39,3,29,"2021"
"Lviv",2021-03-28,140,22,3,28,"2021"
"Lviv",2021-03-27,146,74,3,27,"2021"
"Lviv",2021-03-26,71,75,3,26,"2021"
"Lviv",2021-03-25,22,34,3,25,"2021"
"Lviv",2021-03-24,71,13,3,24,"2021"
"Lviv",2021-03-23,54,35,3,23,"2021"
"Lviv",2021-03-22,84,26,3,22,"2021"
"Lviv",2021-03-21,97,39,3,21,"2021"
"Lviv",2021-03-20,75,46,3,20,"2021"
"Lviv",2021-03-19,45,35,3,19,"2021"
"Lviv",2021-03-18,43,19,3,18,"2021"
"Lviv",2021-03-17,67,20,3,17,"2021"
"Lviv",2021-03-16,83,29,3,16,"2021"
"Lviv",2021-03-15,66,36,3,15,"2021"
"Lviv",2021-03-14,64,27,3,14,"2021"
"Lviv",2021-03-13,82,30,3,13,"2021"
"Lviv",2021-03-12,94,36,3,12,"2021"
"Lviv",2021-03-11,68,47,3,11,"2021"
"Lviv",2021-03-10,61,31,3,10,"2021"
"Lviv",2021-03-09,54,29,3,9,"2021"
"Lviv",2021-03-08,61,26,3,8,"2021"
"Lviv",2021-03-07,56,27,3,7,"2021"
"Lviv",2021-03-06,106,27,3,6,"2021"
"Lviv",2021-03-05,116,58,3,5,"2021"
"Lviv",2021-03-04,146,57,3,4,"2021"
"Lviv",2021-03-03,119,72,3,3,"2021"
"Lviv",2021-03-02,78,61,3,2,"2021"
"Lviv",2021-03-01,59,38,3,1,"2021"
"Lviv",2022-03-31,115,38,3,31,"2022"
"Lviv",2022-03-30,64,52,3,30,"2022"
"Lviv",2022-03-29,33,28,3,29,"2022"
"Lviv",2022-03-28,20,18,3,28,"2022"
"Lviv",2022-03-27,86,11,3,27,"2022"
"Lviv",2022-03-26,67,46,3,26,"2022"
"Lviv",2022-03-25,73,32,3,25,"2022"
"Lviv",2022-03-24,66,35,3,24,"2022"
"Lviv",2022-03-23,79,29,3,23,"2022"
"Lviv",2022-03-22,67,39,3,22,"2022"
"Lviv",2022-03-21,87,31,3,21,"2022"
"Lviv",2022-03-20,79,41,3,20,"2022"
"Lviv",2022-03-19,70,40,3,19,"2022"
"Lviv",2022-03-18,92,35,3,18,"2022"
"Lviv",2022-03-17,134,43,3,17,"2022"
"Lviv",2022-03-16,117,63,3,16,"2022"
"Lviv",2022-03-15,85,55,3,15,"2022"
"Lviv",2022-03-14,61,42,3,14,"2022"
"Lviv",2022-03-13,46,29,3,13,"2022"
"Lviv",2022-03-12,57,23,3,12,"2022"
"Lviv",2022-03-11,58,27,3,11,"2022"
"Lviv",2022-03-10,45,26,3,10,"2022"
"Lviv",2022-03-09,45,19,3,9,"2022"
"Lviv",2022-03-08,55,19,3,8,"2022"
"Lviv",2022-03-07,52,22,3,7,"2022"
"Lviv",2022-03-06,45,22,3,6,"2022"
"Lviv",2022-03-05,99,18,3,5,"2022"
"Lviv",2022-03-04,60,48,3,4,"2022"
"Lviv",2022-03-03,47,28,3,3,"2022"
