"City","date","pm25","pm10"
"Dnipro",2022-04-03,16,14
"Dnipro",2022-04-02,24,19
"Dnipro",2022-04-01,37,24
"Dnipro",2022-03-31,58,23
"Dnipro",2022-03-30,19,34
"Dnipro",2022-03-29,12,13
"Dnipro",2022-03-28,9,7
"Dnipro",2022-03-27,40,5
"Dnipro",2022-03-26,24,22
"Dnipro",2022-03-25,40,14
"Dnipro",2022-03-24,40,22
"Dnipro",2022-03-23,12,22
"Dnipro",2022-03-22,32,8
"Dnipro",2022-03-21,23,17
"Dnipro",2022-03-20,21,11
"Dnipro",2022-03-19,18,10
"Dnipro",2022-03-18,20,8
"Dnipro",2022-03-17,14,10
"Dnipro",2022-03-16,30,6
"Dnipro",2022-03-15,34,14
"Dnipro",2022-03-14,19,16
"Dnipro",2022-03-13,12,10
"Dnipro",2022-03-12,16,7
"Dnipro",2022-03-11,20,8
"Dnipro",2022-03-10,39,10
"Dnipro",2022-03-09,25,19
"Dnipro",2022-03-08,28,11
"Dnipro",2022-03-07,20,13
"Dnipro",2022-03-03,37,15
"Dnipro",2022-03-02,37,18
"Dnipro",2022-03-01,21,19
"Dnipro",2022-02-28,21,9
"Dnipro",2022-02-27,32,10
"Dnipro",2022-02-26,40,16
"Dnipro",2022-02-25,51,19
"Dnipro",2022-02-24,43,30
"Dnipro",2022-02-23,44,24
"Dnipro",2022-02-22,27,24
"Dnipro",2022-02-21,24,14
"Dnipro",2022-02-20,38,13
"Dnipro",2022-02-19,41,21
"Dnipro",2022-02-18,37,23
"Dnipro",2022-02-17,49,18
"Dnipro",2022-02-16,46,29
"Dnipro",2022-02-15,52,32
"Dnipro",2022-02-14,39,37
"Dnipro",2022-02-13,49,22
"Dnipro",2022-02-12,54,28
"Dnipro",2022-02-11,49,27
"Dnipro",2022-02-10,32,29
"Dnipro",2022-02-09,64,17
"Dnipro",2022-02-08,35,38
"Dnipro",2022-02-07,35,17
"Dnipro",2022-02-06,33,17
"Dnipro",2022-02-05,46,16
"Dnipro",2022-02-04,73,24
