City,date,pm25,pm10
Lviv,4/4/22,42, 
Lviv,4/3/22,36,15
Lviv,4/2/22,57,13
Lviv,4/1/22,86,20
Lviv,3/31/22,115,38
Lviv,3/30/22,64,52
Lviv,3/29/22,33,28
Lviv,3/28/22,20,18
Lviv,3/27/22,86,11
Lviv,3/26/22,67,46
Lviv,3/25/22,73,32
Lviv,3/24/22,66,35
Lviv,3/23/22,79,29
Lviv,3/22/22,67,39
Lviv,3/21/22,87,31
Lviv,3/20/22,79,41
Lviv,3/19/22,70,40
Lviv,3/18/22,92,35
Lviv,3/17/22,134,43
Lviv,3/16/22,117,63
Lviv,3/15/22,85,55
Lviv,3/14/22,61,42
Lviv,3/13/22,46,29
Lviv,3/12/22,57,23
Lviv,3/11/22,58,27
Lviv,3/10/22,45,26
Lviv,3/9/22,45,19
Lviv,3/8/22,55,19
Lviv,3/7/22,52,22
Lviv,3/6/22,45,22
Lviv,3/5/22,99,18
Lviv,3/4/22,60,48
Lviv,3/3/22,47,28
Lviv,3/2/22, ,21
Lviv,9/28/21,40, 
Lviv,9/27/21,55,24
Lviv,9/26/21,41,20
Lviv,9/25/21,23,20
Lviv,9/24/21, ,16
Lviv,9/13/21,112, 
Lviv,9/12/21,98,59
Lviv,9/11/21,70,46
Lviv,9/10/21,72,35
Lviv,9/9/21,71,36
Lviv,9/8/21,66,35
Lviv,9/7/21,24,34
Lviv,9/6/21,16,14
Lviv,9/5/21,48,9
Lviv,9/4/21,48,21
Lviv,9/3/21,35,24
Lviv,9/2/21, ,17
Lviv,8/25/21,83, 
Lviv,8/24/21,83,32
Lviv,8/23/21,60,33
Lviv,8/22/21,53,23
Lviv,8/21/21,39,23
Lviv,8/20/21,35,18
Lviv,8/19/21,43,16
Lviv,8/18/21,52,19
Lviv,8/17/21,43,21
Lviv,8/16/21,48,17
Lviv,8/15/21,49,19
Lviv,8/14/21,38,21
Lviv,8/13/21,30,20
Lviv,8/12/21,34,13
Lviv,8/11/21,38,15
Lviv,8/10/21,31,15
Lviv,8/9/21,23,13
Lviv,8/8/21,17,11
Lviv,8/7/21,24,9
Lviv,8/6/21,61,11
Lviv,8/5/21, ,23
Lviv,7/6/21,62, 
Lviv,7/5/21,36,28
Lviv,7/4/21,43,13
Lviv,7/3/21,42,16
Lviv,7/2/21,62,16
Lviv,7/1/21,73,25
Lviv,6/30/21,33,29
Lviv,6/29/21,46,15
Lviv,6/28/21,36,17
Lviv,6/27/21,49,14
Lviv,6/26/21,36,22
Lviv,6/25/21,49,23
Lviv,6/24/21,47,37
Lviv,6/23/21,37,38
Lviv,6/22/21,33,26
Lviv,6/21/21,44,21
Lviv,6/20/21,32,19
Lviv,6/19/21,33,15
Lviv,6/18/21,37,16
Lviv,6/17/21,29,17
Lviv,6/16/21,26,14
Lviv,6/15/21,22,12
Lviv,6/14/21,34,12
Lviv,6/13/21,42,15
Lviv,6/12/21,46,16
Lviv,6/11/21,33,19
Lviv,6/10/21,29,13
Lviv,6/9/21,23,15
Lviv,6/8/21,22,15
Lviv,6/7/21,53,13
Lviv,6/6/21,44,22
Lviv,6/5/21,23,22
Lviv,6/4/21,22,19
Lviv,6/3/21,20,14
Lviv,6/2/21,33,12
Lviv,6/1/21,32,20
Lviv,5/31/21,28,15
Lviv,5/30/21,39,10
Lviv,5/29/21,16,15
Lviv,5/28/21,28,9
Lviv,5/27/21,19,14
Lviv,5/26/21,27,10
Lviv,5/25/21,23,14
Lviv,5/24/21,16,12
Lviv,5/23/21,15,9
Lviv,5/22/21,27,13
Lviv,5/21/21,33,15
Lviv,5/20/21,28,16
Lviv,5/19/21,40,11
Lviv,5/18/21,27,17
Lviv,5/17/21,33,12
Lviv,5/16/21,50,14
Lviv,5/15/21,17,22
Lviv,5/14/21,30,11
Lviv,5/13/21,22,17
Lviv,5/12/21,19,17
Lviv,5/11/21,24,16
Lviv,5/10/21,34,14
Lviv,5/9/21,25,14
Lviv,5/8/21,20,10
Lviv,5/7/21,17,11
Lviv,5/6/21,23,10
Lviv,5/5/21,34,13
Lviv,5/4/21,18,15
Lviv,5/3/21,88,8
Lviv,5/2/21,71,53
Lviv,5/1/21,52,30
Lviv,4/30/21,92,21
Lviv,4/29/21,59,42
Lviv,4/28/21,46,30
Lviv,4/27/21,41,22
Lviv,4/26/21,61,19
Lviv,4/25/21,52,28
Lviv,4/24/21,39,25
Lviv,4/23/21, ,18
Lviv,4/9/21,57, 
Lviv,4/8/21,67,26
Lviv,4/7/21,42,33
Lviv,4/6/21,63,18
Lviv,4/5/21,47,32
Lviv,4/4/21,54,19
Lviv,4/3/21,51,24
Lviv,4/2/21,92,24
Lviv,4/1/21,101,42
Lviv,3/31/21,102,47
Lviv,3/30/21,81,46
Lviv,3/29/21,50,39
Lviv,3/28/21,140,22
Lviv,3/27/21,146,74
Lviv,3/26/21,71,75
Lviv,3/25/21,22,34
Lviv,3/24/21,71,13
Lviv,3/23/21,54,35
Lviv,3/22/21,84,26
Lviv,3/21/21,97,39
Lviv,3/20/21,75,46
Lviv,3/19/21,45,35
Lviv,3/18/21,43,19
Lviv,3/17/21,67,20
Lviv,3/16/21,83,29
Lviv,3/15/21,66,36
Lviv,3/14/21,64,27
Lviv,3/13/21,82,30
Lviv,3/12/21,94,36
Lviv,3/11/21,68,47
Lviv,3/10/21,61,31
Lviv,3/9/21,54,29
Lviv,3/8/21,61,26
Lviv,3/7/21,56,27
Lviv,3/6/21,106,27
Lviv,3/5/21,116,58
Lviv,3/4/21,146,57
Lviv,3/3/21,119,72
Lviv,3/2/21,78,61
Lviv,3/1/21,59,38
Lviv,2/28/21,49,27
Lviv,2/27/21,103,23
Lviv,2/26/21,103,60
Lviv,2/25/21,161,60
Lviv,2/24/21,149,101
Lviv,2/23/21,127,75
Lviv,2/22/21,110,61
Lviv,2/21/21,149,55
Lviv,2/20/21,117,94
Lviv,2/19/21,145,63
Lviv,2/18/21,107,93
Lviv,2/17/21,66,56
Lviv,2/16/21,85,33
Lviv,2/15/21,69,46
Lviv,2/14/21,63,35
Lviv,2/13/21,58,33
Lviv,2/12/21,128,31
Lviv,2/11/21,148,75
Lviv,2/10/21,117,83
Lviv,2/9/21,71,62
Lviv,2/8/21,70,38
Lviv,2/7/21,63,39
Lviv,2/6/21, ,29
Lviv,1/31/21,114, 
Lviv,1/30/21,64,58
Lviv,1/29/21,74,30
Lviv,1/28/21,112,36
